0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:04:40 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:04:40 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:04:48 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22871
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:04:49 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:04:49 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:04:58 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=1&descripcionDano=Laptop%20HP%2015.5%22%20de%201TB%2C8RAM&precio=25&cantidad=5&creditoAdeudado=125 HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:05:40 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22874
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:05:40 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:05:40 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:05:47 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=1&descripcionDano=Laptop%20HP%2015.5%22%20de%201TB%2C8RAM&precio=25&cantidad=5&creditoAdeudado=125 HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:06:04 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22872
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:06:04 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:06:05 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
